pb(Eb/N0) for n = 100
Eb/N0 = 0 pb = 0.088
Eb/N0 = 0.500 pb = 0.061
Eb/N0 = 1.000 pb = 0.040
Eb/N0 = 1.500 pb = 0.024
Eb/N0 = 2.000 pb = 0.014
Eb/N0 = 2.500 pb = 0.007
Eb/N0 = 3.000 pb = 0.003
Eb/N0 = 3.500 pb = 0.002
Eb/N0 = 4.000 pb = 0.001
Eb/N0 = 4.500 pb = 0.000
Eb/N0 = 5.000 pb = 0.000
Eb/N0 = 5.500 pb = 0.000
Eb/N0 = 6.000 pb = 0.000
pe(Eb/N0) for n = 100
Eb/N0 = 0 pe = 0.929
Eb/N0 = 0.500 pe = 0.849
Eb/N0 = 1.000 pe = 0.719
Eb/N0 = 1.500 pe = 0.560
Eb/N0 = 2.000 pe = 0.402
Eb/N0 = 2.500 pe = 0.235
Eb/N0 = 3.000 pe = 0.134
Eb/N0 = 3.500 pe = 0.076
Eb/N0 = 4.000 pe = 0.033
Eb/N0 = 4.500 pe = 0.013
Eb/N0 = 5.000 pe = 0.005
Eb/N0 = 5.500 pe = 0.002
Eb/N0 = 6.000 pe = 0.001
pb(Eb/N0) for n = 100
Eb/N0 = 0 pb = 0.088
Eb/N0 = 0.500 pb = 0.061
Eb/N0 = 1.000 pb = 0.040
Eb/N0 = 1.500 pb = 0.024
Eb/N0 = 2.000 pb = 0.014
Eb/N0 = 2.500 pb = 0.008
Eb/N0 = 3.000 pb = 0.003
Eb/N0 = 3.500 pb = 0.002
Eb/N0 = 4.000 pb = 0.001
Eb/N0 = 4.500 pb = 0.000
Eb/N0 = 5.000 pb = 0.000
Eb/N0 = 5.500 pb = 0.000
Eb/N0 = 6.000 pb = 0.000
