
#----- AWGN soft FER ----- (красный)
SNR = 2 pb = 9.199800e-01
SNR = 2.010000e+00 pb = 9.190800e-01
SNR = 2.020000e+00 pb = 9.167300e-01
SNR = 2.030000e+00 pb = 9.139500e-01
SNR = 2.040000e+00 pb = 9.117300e-01
SNR = 2.050000e+00 pb = 9.112400e-01
SNR = 2.060000e+00 pb = 9.081800e-01
SNR = 2.070000e+00 pb = 9.049100e-01
SNR = 2.080000e+00 pb = 9.025800e-01
SNR = 2.090000e+00 pb = 9.024800e-01
SNR = 2.100000e+00 pb = 8.989400e-01
SNR = 2.110000e+00 pb = 8.961000e-01
SNR = 2.120000e+00 pb = 8.915500e-01
SNR = 2.130000e+00 pb = 8.907400e-01
SNR = 2.140000e+00 pb = 8.868500e-01
SNR = 2.150000e+00 pb = 8.847500e-01
SNR = 2.160000e+00 pb = 8.827200e-01
SNR = 2.170000e+00 pb = 8.777200e-01
SNR = 2.180000e+00 pb = 8.773800e-01
SNR = 2.190000e+00 pb = 8.732000e-01
SNR = 2.200000e+00 pb = 8.735900e-01
SNR = 2.210000e+00 pb = 8.675300e-01
SNR = 2.220000e+00 pb = 8.636900e-01
SNR = 2.230000e+00 pb = 8.628000e-01
SNR = 2.240000e+00 pb = 8.577400e-01
SNR = 2.250000e+00 pb = 8.555300e-01
SNR = 2.260000e+00 pb = 8.530100e-01
SNR = 2.270000e+00 pb = 8.496700e-01
SNR = 2.280000e+00 pb = 8.469200e-01
SNR = 2.290000e+00 pb = 8.433100e-01
SNR = 2.300000e+00 pb = 8.395800e-01
SNR = 2.310000e+00 pb = 8.370800e-01
SNR = 2.320000e+00 pb = 8.332700e-01
SNR = 2.330000e+00 pb = 8.300200e-01
SNR = 2.340000e+00 pb = 8.258500e-01
SNR = 2.350000e+00 pb = 8.230800e-01
SNR = 2.360000e+00 pb = 8.179000e-01
SNR = 2.370000e+00 pb = 8.153300e-01
SNR = 2.380000e+00 pb = 8.119700e-01
SNR = 2.390000e+00 pb = 8.064000e-01
SNR = 2.400000e+00 pb = 8.058700e-01
SNR = 2.410000e+00 pb = 8.002200e-01
SNR = 2.420000e+00 pb = 7.956800e-01
SNR = 2.430000e+00 pb = 7.929100e-01
SNR = 2.440000e+00 pb = 7.875600e-01
SNR = 2.450000e+00 pb = 7.856300e-01
SNR = 2.460000e+00 pb = 7.800800e-01
SNR = 2.470000e+00 pb = 7.772100e-01
SNR = 2.480000e+00 pb = 7.697200e-01
SNR = 2.490000e+00 pb = 7.690400e-01
SNR = 2.500000e+00 pb = 7.637700e-01
SNR = 2.510000e+00 pb = 7.619500e-01
SNR = 2.520000e+00 pb = 7.550600e-01
SNR = 2.530000e+00 pb = 7.500400e-01
SNR = 2.540000e+00 pb = 7.485900e-01
SNR = 2.550000e+00 pb = 7.435400e-01
SNR = 2.560000e+00 pb = 7.364400e-01
SNR = 2.570000e+00 pb = 7.337100e-01
SNR = 2.580000e+00 pb = 7.301900e-01
SNR = 2.590000e+00 pb = 7.255000e-01
SNR = 2.600000e+00 pb = 7.263100e-01
SNR = 2.610000e+00 pb = 7.165400e-01
SNR = 2.620000e+00 pb = 7.146100e-01
SNR = 2.630000e+00 pb = 7.120900e-01
SNR = 2.640000e+00 pb = 7.068000e-01
SNR = 2.650000e+00 pb = 7.001400e-01
SNR = 2.660000e+00 pb = 6.959900e-01
SNR = 2.670000e+00 pb = 6.921300e-01
SNR = 2.680000e+00 pb = 6.867900e-01
SNR = 2.690000e+00 pb = 6.822300e-01
SNR = 2.700000e+00 pb = 6.755400e-01
SNR = 2.710000e+00 pb = 6.717600e-01
SNR = 2.720000e+00 pb = 6.679000e-01
SNR = 2.730000e+00 pb = 6.627700e-01
SNR = 2.740000e+00 pb = 6.592800e-01
SNR = 2.750000e+00 pb = 6.544900e-01
SNR = 2.760000e+00 pb = 6.492100e-01
SNR = 2.770000e+00 pb = 6.487800e-01
SNR = 2.780000e+00 pb = 6.407100e-01
SNR = 2.790000e+00 pb = 6.329800e-01
SNR = 2.800000e+00 pb = 6.287200e-01
SNR = 2.810000e+00 pb = 6.277700e-01
SNR = 2.820000e+00 pb = 6.216600e-01
SNR = 2.830000e+00 pb = 6.171600e-01
SNR = 2.840000e+00 pb = 6.101200e-01
SNR = 2.850000e+00 pb = 6.068000e-01
SNR = 2.860000e+00 pb = 6.009500e-01
SNR = 2.870000e+00 pb = 5.954000e-01
SNR = 2.880000e+00 pb = 5.938200e-01
SNR = 2.890000e+00 pb = 5.907900e-01
SNR = 2.900000e+00 pb = 5.831200e-01
SNR = 2.910000e+00 pb = 5.785100e-01
SNR = 2.920000e+00 pb = 5.724800e-01
SNR = 2.930000e+00 pb = 5.702200e-01
SNR = 2.940000e+00 pb = 5.631100e-01
SNR = 2.950000e+00 pb = 5.592800e-01
SNR = 2.960000e+00 pb = 5.545500e-01
SNR = 2.970000e+00 pb = 5.504800e-01
SNR = 2.980000e+00 pb = 5.454500e-01
SNR = 2.990000e+00 pb = 5.392500e-01
SNR = 3.000000e+00 pb = 5.350000e-01
SNR = 3.010000e+00 pb = 5.300100e-01
SNR = 3.020000e+00 pb = 5.238200e-01
SNR = 3.030000e+00 pb = 5.186500e-01
SNR = 3.040000e+00 pb = 5.155400e-01
SNR = 3.050000e+00 pb = 5.098500e-01
SNR = 3.060000e+00 pb = 5.055200e-01
SNR = 3.070000e+00 pb = 5.013500e-01
SNR = 3.080000e+00 pb = 4.976300e-01
SNR = 3.090000e+00 pb = 4.903800e-01
SNR = 3.100000e+00 pb = 4.884100e-01
SNR = 3.110000e+00 pb = 4.830000e-01
SNR = 3.120000e+00 pb = 4.805400e-01
SNR = 3.130000e+00 pb = 4.709200e-01
SNR = 3.140000e+00 pb = 4.685400e-01
SNR = 3.150000e+00 pb = 4.642700e-01
SNR = 3.160000e+00 pb = 4.587100e-01
SNR = 3.170000e+00 pb = 4.538700e-01
SNR = 3.180000e+00 pb = 4.522000e-01
SNR = 3.190000e+00 pb = 4.434200e-01
SNR = 3.200000e+00 pb = 4.404600e-01
SNR = 3.210000e+00 pb = 4.372500e-01
SNR = 3.220000e+00 pb = 4.329400e-01
SNR = 3.230000e+00 pb = 4.245300e-01
SNR = 3.240000e+00 pb = 4.210200e-01
SNR = 3.250000e+00 pb = 4.156000e-01
SNR = 3.260000e+00 pb = 4.147700e-01
SNR = 3.270000e+00 pb = 4.098200e-01
SNR = 3.280000e+00 pb = 4.066400e-01
SNR = 3.290000e+00 pb = 4.008200e-01
SNR = 3.300000e+00 pb = 3.950600e-01
SNR = 3.310000e+00 pb = 3.908100e-01
SNR = 3.320000e+00 pb = 3.873000e-01
SNR = 3.330000e+00 pb = 3.826400e-01
SNR = 3.340000e+00 pb = 3.770100e-01
SNR = 3.350000e+00 pb = 3.758700e-01
